###;States;Params;Trial;Time;Distance;Iterations;ResFit;GoalFit;MissFitFlag;Alg
3097;10;9;7;199,999;1,157876401;43;1,300843177;1;1;2
4621;10;6;10;9,481542587;1,104371982;2;0,224356014;1;0;3
6425;6;9;15;17,08797741;0,69964754;4;0,240282803;0,6;0;4
2161;5;1;10;0,234013557;0,044871;6;0,014025008;0,5;0;1
2715;9;4;5;35,0230031;0,388712779;14;0,443906915;0,9;0;1
1054;8;11;1053;95,897;0,107;262;0,791;0,792;0;0
6553;7;6;4;199,999;0,955763886;75;0,861260468;0,7;1;4
5286;7;9;15;19,3121047;0,04793528;5;0,39736178;0,7;0;3
2817;10;12;7;17,86002159;0,775792813;5;0,534245287;1;0;2
6647;8;11;17;45,54360485;0,915722085;3;0,703993413;0,8;0;4
3037;10;6;7;0;0,012751247;1;0,446359295;1;0;2
5890;10;13;1;71,25307512;0,949841763;3;0,740176453;1;0;4
4494;10;15;4;31,05277634;1,257880587;3;0,326015147;1;0;3
2417;7;1;7;0,080004215;0,005162;2;0,396889611;0,7;0;1
4373;9;9;3;199,999;0,461440487;14;2,891353649;0,9;1;2
4328;9;7;17;199,999;1,253412166;20;1,638917251;0,9;1;2
6204;5;4;14;7,429424763;0,921057708;2;0,172878322;0,5;0;4
5362;8;13;12;32,00683069;1,132761219;4;0,673724109;0,8;0;3
1236;9;6;1235;199,971;0,049;825;1,336;0,891;1;0
263;5;2;262;0,275;0,005;4;0,272;0,495;0;0
673;7;4;672;0,76;0,011;5;0,563;0,693;0;0
1533;10;5;1532;157,99;0,19;645;0,987;0,99;0;0
3246;4;5;15;2,252129078;0,089421052;7;0,382383338;0,4;0;2
1006;8;9;1005;40,408;0,118;126;0,787;0,792;0;0
4746;4;3;15;0;0,048142689;1;0,130200247;0,4;0;3
5668;9;16;18;65,96177244;0,140181307;15;0,071119906;0,9;0;3
2745;9;6;14;199,999;0,64087144;11;0,376855873;0,9;1;1
4290;9;5;19;199,999;0,977370743;88;2,246742901;0,9;1;2
164;4;3;163;38,176;0,026;681;0,394;0,396;0;0
1757;10;16;1756;199,537;0,062;299;3,793;0,99;1;0
246;5;1;245;0,231;0,006;5;0,102;0,495;0;0
3298;5;2;8;0,585033417;0,180260042;2;0,049129144;0,5;0;2
4467;10;14;16;33,55791903;0,69238935;6;0,589489525;1;0;3
7095;9;9;6;57,96631527;0,19260756;4;0,835689396;0,9;0;4
5284;7;9;13;4,927281857;0,076588595;3;0,352615298;0,7;0;3
450;6;3;449;3,596;0,011;41;0,588;0,594;0;0
1187;9;4;1186;1,93;0,019;10;0,851;0,891;0;0
6390;6;7;1;16,76695919;0,559785418;3;0,286582556;0,6;0;4
3292;5;2;2;0,314017773;0,005918492;2;0,24019958;0,5;0;2
5216;7;5;6;6,958397865;0,018461118;3;0,178769891;0,7;0;3
2913;10;17;3;74,64726973;1,256512652;12;0,484268668;1;0;2
2109;4;4;17;4,988285542;0,088807776;6;0,361703922;0,4;0;1
4628;10;6;17;5,530316353;0,215743401;2;0,898551785;1;0;3
7039;9;7;0;25,00643015;0,096037722;2;0,279566087;0,9;0;4
436;6;2;435;3,887;0,011;57;0,389;0,594;0;0
6440;7;10;10;7,50442934;0,183449941;2;0,438875523;0,7;0;4
6962;9;16;12;107,2091322;0,632870227;5;0,893653741;0,9;0;4
2742;9;6;11;199,999;1,154220628;23;0,280903332;0,9;1;1
